Index,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
236,9,56,Yes,8,2,56
237,2,92,No,7,7,70
238,2,57,No,5,8,35
239,2,71,Yes,5,4,47
240,6,77,No,6,8,66
241,3,62,Yes,9,0,43
242,9,85,No,8,6,81
243,4,62,Yes,4,6,43
244,1,74,Yes,7,5,46
245,4,78,No,8,3,61
246,1,54,No,4,8,27
247,5,92,No,7,2,77
248,4,63,No,7,0,43
249,8,67,Yes,5,1,60
250,8,55,No,6,2,48
251,7,55,Yes,8,1,47
252,3,79,Yes,7,5,60
253,1,78,Yes,8,6,53
254,1,45,No,7,4,19
255,3,41,Yes,9,4,23
256,6,93,Yes,5,6,81
257,7,52,No,6,5,41
258,6,83,Yes,4,7,71
259,6,86,Yes,4,8,75
260,6,98,Yes,9,1,89
261,3,48,No,5,1,28
262,6,73,Yes,7,0,60
263,8,56,Yes,5,6,54
264,2,66,Yes,6,3,41
265,5,68,No,4,8,52
266,1,76,No,8,5,53
267,1,82,No,4,6,52
268,5,61,Yes,6,6,47
269,3,90,Yes,7,7,71
270,4,63,Yes,5,3,42
271,3,46,Yes,4,2,21
272,1,73,Yes,4,2,48
273,1,87,No,8,9,64
274,5,51,Yes,5,7,38
275,6,62,Yes,8,2,49
276,3,54,No,8,7,35
277,9,72,No,7,1,73
278,5,96,Yes,4,4,81
279,8,52,No,9,4,47
280,1,62,No,5,6,36
281,5,77,No,7,4,63
282,3,71,Yes,9,8,52
283,1,84,No,7,2,58
284,4,89,Yes,7,8,77
285,5,74,No,6,0,58
286,7,40,Yes,6,2,33
287,1,86,Yes,7,3,67
288,3,97,Yes,6,5,76
289,2,84,No,5,9,62
290,9,44,No,4,7,37
291,6,96,No,9,6,86
292,3,52,Yes,5,7,37
293,8,93,No,4,5,88
294,8,44,No,6,5,38
295,2,99,Yes,9,5,76
296,6,71,No,5,2,57
297,7,90,Yes,8,9,82
298,2,60,No,7,3,35
299,2,63,Yes,4,5,41
300,1,99,Yes,4,6,75
301,8,57,No,8,2,51
302,1,60,Yes,8,3,34
303,9,93,No,7,5,92
304,6,49,No,6,0,39
305,7,63,No,5,6,56
306,7,79,No,5,0,69
307,3,86,Yes,5,9,69
308,2,60,Yes,6,8,40
309,9,64,Yes,7,9,63
310,8,91,No,5,8,86
311,7,99,No,4,8,89
312,9,96,Yes,4,3,94
313,4,98,Yes,4,1,79
314,4,62,No,8,6,44
315,1,61,No,8,3,33
316,8,43,No,6,4,36
317,3,73,Yes,5,0,50
318,7,95,No,8,9,94
319,2,45,Yes,4,5,22
320,2,67,No,8,6,44
321,7,70,Yes,4,2,60
322,6,74,No,5,9,64
323,3,78,Yes,6,1,58
324,9,81,Yes,7,9,78
325,6,62,Yes,7,6,51
326,6,45,No,4,0,30
327,1,55,Yes,8,1,29
328,4,41,Yes,8,2,22
329,6,63,No,4,3,51
330,6,56,Yes,5,4,45
331,5,84,Yes,4,3,70
332,1,40,No,5,9,10
333,8,45,Yes,6,2,38
334,5,44,No,6,0,30
335,5,96,Yes,4,6,82
336,7,84,No,6,9,74
337,4,99,Yes,8,5,87
338,6,94,Yes,5,1,77
339,4,89,Yes,7,1,72
340,3,68,No,7,2,51
341,7,51,Yes,6,7,40
342,8,78,Yes,5,7,72
343,4,86,No,8,9,68
344,2,42,No,7,9,22
345,3,87,No,8,9,67
346,1,40,Yes,8,9,18
347,8,66,Yes,7,7,64
348,3,87,Yes,7,6,66
349,7,63,No,6,1,50
350,5,83,No,5,0,68
351,5,58,Yes,4,5,44
352,7,98,Yes,5,7,90
353,9,47,No,4,0,41
354,5,94,No,7,2,83
355,1,83,No,8,0,57
356,1,86,Yes,5,9,64
357,2,41,No,8,8,18
358,6,69,No,5,6,62
359,9,69,No,9,7,66
360,8,88,No,5,8,85
361,5,78,Yes,8,2,62
362,1,84,No,9,9,62
363,7,71,Yes,6,1,62
364,5,40,Yes,7,5,26
365,6,77,No,6,4,66
366,7,52,No,6,3,43
367,3,50,Yes,5,5,30
368,3,49,No,7,5,25
369,5,87,Yes,9,2,77
370,6,98,No,5,1,88
371,9,65,Yes,4,8,62
372,5,95,Yes,5,7,82
373,1,94,Yes,9,3,73
374,4,59,No,8,5,44
375,5,56,Yes,5,2,40
376,5,56,Yes,4,7,39
377,7,43,No,5,2,34
378,4,44,No,9,1,27
379,1,99,Yes,4,6,73
380,5,62,Yes,7,2,46
381,7,85,No,9,8,78
382,6,91,Yes,5,2,80
383,5,49,No,4,7,33
384,4,85,No,9,1,68
385,2,67,No,7,8,45
386,4,72,Yes,8,0,56
387,3,82,No,6,2,58
388,1,65,Yes,4,1,37
389,8,94,Yes,8,6,88
390,5,89,No,7,4,75
391,4,87,No,8,7,70
392,8,68,No,5,1,62
393,7,66,No,6,7,57
394,2,57,Yes,4,6,32
395,1,79,Yes,9,4,53
396,4,99,No,7,1,82
397,8,49,Yes,6,9,41
398,2,97,No,7,6,75
399,3,81,Yes,8,9,63
400,1,44,Yes,7,3,17
401,1,49,Yes,7,3,24
402,3,89,No,8,7,69
403,5,60,Yes,8,5,47
404,3,63,Yes,6,8,43
405,1,77,Yes,4,1,48
406,1,42,Yes,8,4,17
407,8,79,No,6,5,75
408,2,70,Yes,7,7,54
409,3,80,No,7,3,59
410,2,76,No,9,6,56
411,3,41,Yes,5,6,20
412,7,41,Yes,8,3,34
413,1,78,No,6,0,54
414,8,88,No,9,2,83
415,2,81,No,6,1,59
416,3,83,Yes,4,2,63
417,9,73,Yes,9,4,72
418,7,81,No,6,0,70
419,4,59,No,8,4,41
420,5,72,No,6,1,54
421,2,43,Yes,5,3,21
422,8,84,Yes,7,5,83
423,4,83,No,7,8,64
424,9,50,Yes,9,9,51
425,5,81,No,6,5,66
426,9,86,Yes,6,9,83
427,4,44,No,6,1,26
428,5,64,Yes,6,7,49
429,9,88,Yes,5,4,85
430,8,99,Yes,8,8,95
431,3,76,Yes,5,9,56
432,1,73,Yes,5,8,50
433,3,48,Yes,5,3,23
434,4,45,Yes,7,0,26
435,2,57,No,5,8,30
436,1,53,No,6,8,28
437,7,58,No,5,7,48
438,8,53,Yes,6,4,46
439,,79,Yes,9,4,73
440,5,56,Yes,8,9,45
441,1,99,No,7,5,76
442,7,74,No,8,0,71
443,7,68,No,9,8,60
444,9,81,No,8,4,77
445,3,56,No,7,6,36
446,9,98,No,6,7,96
447,1,82,Yes,9,4,62
448,1,47,No,9,2,22
449,4,40,Yes,6,5,21
450,9,84,No,6,6,79
451,6,92,No,7,3,82
452,3,75,Yes,5,8,55
453,1,46,Yes,4,3,22
454,4,85,Yes,5,9,70
455,9,44,No,5,1,37
456,3,63,No,8,8,42
457,9,67,,4,3,64
458,7,82,No,6,3,72
459,4,56,Yes,5,9,42
460,3,76,No,7,0,56
461,5,59,No,5,1,43
462,5,42,No,6,2,24
463,3,76,Yes,5,6,55
464,9,65,No,9,8,64
465,4,54,Yes,8,4,34
466,5,90,Yes,8,3,78
467,4,87,Yes,5,1,71
468,5,47,Yes,8,6,33
469,7,52,Yes,7,5,46
470,9,87,Yes,4,6,86
471,7,42,Yes,5,7,34
472,5,40,Yes,7,8,26
473,7,48,Yes,9,9,44
474,5,70,No,7,4,53
475,3,80,Yes,7,4,61
476,7,93,No,9,3,84
477,2,65,Yes,6,2,40
478,9,56,No,5,6,53
479,1,95,No,5,4,67
480,6,73,No,5,6,58
481,7,48,No,4,1,41
482,8,95,No,7,8,89
483,9,90,No,5,8,85
484,2,52,Yes,8,8,33
485,2,44,Yes,6,4,20
486,5,80,Yes,9,9,66
487,5,52,Yes,9,8,38
488,6,40,Yes,4,0,25
489,3,64,Yes,9,1,43
490,8,86,No,6,9,79
491,1,43,Yes,7,4,16
492,6,75,No,9,4,67
493,4,91,No,9,5,80
494,1,49,No,8,7,26
495,7,67,No,7,0,57
496,9,96,No,5,9,91
497,4,45,No,6,8,29
498,4,66,Yes,9,3,48
499,6,95,No,8,7,84
500,3,51,No,6,4,33
501,6,91,Yes,4,0,82
502,7,87,Yes,8,8,81
503,3,42,Yes,4,7,24
504,7,85,Yes,9,4,81
505,3,72,Yes,8,3,54
506,2,49,Yes,5,7,25
507,4,70,Yes,6,8,53
508,8,54,No,6,6,48
509,9,46,Yes,7,3,40
510,7,75,No,8,6,66
511,1,53,Yes,8,5,29
512,3,95,Yes,4,2,73
513,9,87,No,8,9,89
514,1,53,Yes,6,2,27
515,9,42,Yes,8,0,40
516,8,88,Yes,7,4,83
517,1,92,Yes,7,7,69
518,6,85,Yes,6,5,72
519,5,89,Yes,6,7,77
520,6,42,Yes,6,6,32
521,5,61,No,8,1,49
522,6,58,Yes,8,7,44
523,5,74,No,5,3,57
524,5,51,No,9,4,34
525,4,93,No,9,7,76
526,3,44,No,4,4,22
527,3,49,No,8,4,30
528,4,80,No,5,5,67
529,9,72,No,5,6,71
530,2,52,Yes,7,8,29
531,9,74,Yes,8,6,74
532,1,90,Yes,5,5,67
533,1,71,No,7,9,46
534,5,50,Yes,4,3,34
535,6,87,No,7,9,76
536,6,77,No,4,1,64
537,3,63,Yes,9,8,46
538,7,74,No,9,9,68
539,9,58,No,6,4,58
540,8,45,Yes,6,4,41
541,6,79,No,7,2,64
542,8,93,Yes,6,2,84
543,5,84,No,8,0,70
544,8,83,No,7,4,77
545,4,81,Yes,5,2,60
546,8,74,Yes,8,1,65
547,2,43,Yes,7,8,21
548,5,72,No,9,9,60
549,9,52,No,4,5,48
550,4,95,Yes,6,2,77
551,6,75,Yes,6,6,63
552,1,93,Yes,6,8,68
553,9,82,No,7,8,81
554,1,58,No,8,0,29
555,5,82,Yes,4,1,66
556,4,51,Yes,6,7,36
557,3,50,Yes,8,0,29
558,6,45,No,5,2,32
559,2,51,Yes,9,6,31
560,3,66,Yes,5,7,45
561,5,80,Yes,4,4,65
562,9,64,No,6,1,57
563,2,81,No,5,2,58
564,8,42,Yes,9,8,38
565,2,42,No,8,9,22
566,5,59,Yes,8,6,48
567,7,67,Yes,5,0,59
568,8,62,Yes,6,2,58
569,1,87,Yes,9,8,62
570,6,42,No,4,6,30
571,1,81,Yes,6,1,56
572,2,63,Yes,7,5,40
573,1,82,No,5,8,59
574,5,79,Yes,7,3,65
575,9,45,No,5,9,43
576,,59,Yes,4,1,48
577,1,50,Yes,6,2,24
578,1,71,Yes,9,6,51
579,2,99,Yes,6,3,81
580,9,66,No,5,6,62
581,3,60,Yes,8,4,43
582,1,83,No,7,7,63
583,5,87,No,9,7,73
584,7,89,No,9,4,76
585,6,52,Yes,6,6,43
586,1,61,No,6,5,34
587,5,74,No,5,7,57
588,5,86,No,8,8,72
589,6,61,Yes,7,4,47
590,3,67,Yes,8,6,52
591,5,60,No,9,0,49
592,7,85,No,8,7,77
593,5,57,Yes,5,2,41
594,5,70,No,8,0,56
595,5,99,No,7,5,89
596,3,85,No,9,7,65
597,1,76,Yes,4,2,49
598,5,60,No,9,0,48
599,9,53,No,4,2,47
600,1,64,Yes,7,4,37
601,3,66,No,9,7,48
602,4,79,Yes,9,8,61
603,1,99,Yes,9,8,77
604,1,99,Yes,9,3,75
605,8,62,No,5,7,57
606,2,70,No,6,4,45
607,8,86,No,9,2,82
608,7,99,No,5,4,90
609,2,68,No,7,1,42
610,6,86,No,9,5,74
611,6,69,No,8,0,60
612,3,90,No,9,5,73
613,2,65,Yes,9,4,40
614,1,59,No,4,8,32
615,6,77,No,8,6,67
616,5,58,Yes,9,5,46
617,9,66,No,9,6,65
618,1,64,Yes,9,9,42
619,7,79,No,5,4,69
620,5,77,No,7,0,62
621,5,91,Yes,4,8,75
622,2,62,Yes,9,4,40
623,3,68,No,7,3,43
624,7,54,Yes,4,5,42
625,6,98,No,4,4,84
626,2,42,No,4,0,15
627,6,49,No,9,1,39
628,2,54,No,5,3,26
629,2,95,No,9,7,73
630,2,55,No,9,4,34
631,3,56,Yes,7,6,34
632,2,58,Yes,6,1,37
633,4,50,Yes,6,7,34
634,9,87,No,6,4,85
635,6,44,Yes,7,3,31
636,1,44,No,8,8,18
637,8,97,Yes,7,5,92
638,7,53,No,4,3,44
639,3,89,No,9,7,72
640,1,65,No,8,2,40
641,5,47,No,4,9,31
642,4,44,No,9,1,25
643,8,46,Yes,9,6,44
644,1,55,No,4,3,27
645,1,94,Yes,7,3,66
646,4,53,No,6,9,34
647,8,76,No,8,8,70
648,5,95,No,9,1,81
649,2,80,Yes,5,0,56
650,6,43,No,9,6,30
651,5,75,Yes,6,7,60
652,2,87,No,9,2,64
653,3,95,Yes,5,1,74
654,9,56,Yes,7,3,52
655,7,86,Yes,9,1,84
656,7,75,No,8,1,66
657,6,45,No,7,4,32
658,8,55,Yes,5,9,47
659,4,68,No,4,4,51
660,8,75,No,9,7,67
661,4,77,No,7,8,57
662,8,76,Yes,9,1,71
663,9,87,Yes,8,0,86
664,3,96,No,9,2,77
665,3,87,Yes,7,5,72
666,2,49,No,6,4,24
667,3,80,No,7,7,60
668,3,75,Yes,5,7,55
669,5,68,Yes,7,1,54
670,5,53,No,8,8,39
671,2,43,No,7,3,19
672,6,83,No,7,0,68
673,5,95,Yes,8,1,83
674,6,81,Yes,7,5,72
675,1,75,No,8,4,49
676,5,89,No,5,6,74
677,9,84,Yes,8,8,86
678,2,52,No,5,5,26
679,1,85,Yes,5,5,60
680,9,57,Yes,8,1,54
681,9,,No,7,6,73
682,9,60,No,9,1,61
683,6,55,Yes,6,6,45
684,8,54,No,9,7,57
685,1,93,Yes,8,0,68
686,4,96,Yes,7,8,72
687,1,44,Yes,5,7,17
688,8,45,No,4,8,37
689,1,77,No,6,4,54
690,3,42,No,9,3,22
691,4,87,Yes,7,0,73
692,8,51,Yes,6,8,47
693,6,75,Yes,4,3,63
694,7,72,Yes,4,3,63
695,8,75,No,4,3,68
696,2,72,No,9,1,52
697,8,70,No,8,3,64
698,3,60,Yes,6,1,38
699,7,66,Yes,8,7,60
700,3,66,No,4,6,45
701,7,47,Yes,7,9,39
702,2,95,No,4,1,75
703,6,76,Yes,8,1,67
704,3,71,Yes,4,1,48
705,3,65,Yes,4,0,44
706,9,41,Yes,8,5,37
707,7,51,Yes,8,5,41
708,5,61,No,7,0,47
709,7,56,No,8,0,45
710,9,46,No,7,5,43
711,1,82,Yes,5,5,54
712,7,43,No,5,3,32
713,6,76,No,8,2,64
714,9,77,Yes,4,8,74
715,1,71,Yes,6,5,50
716,4,50,No,4,0,33
717,9,40,No,8,2,36
718,4,64,No,7,0,45
719,3,81,No,4,2,58
720,9,91,No,5,1,85
721,2,63,Yes,9,4,41
722,4,92,No,8,2,78
723,6,82,No,4,6,63
724,2,95,No,9,7,76
725,8,56,No,4,6,51
726,8,47,No,7,1,36
727,1,98,No,7,9,74
728,3,84,Yes,7,9,65
729,9,66,Yes,9,6,65
730,5,91,Yes,6,9,79
731,6,57,No,9,2,46
732,4,66,No,8,6,47
733,2,61,Yes,8,0,42
734,8,55,No,5,1,46
735,6,41,No,5,9,34
736,5,44,No,8,0,27
737,9,57,Yes,4,8,52
738,1,42,Yes,8,1,17
739,5,66,Yes,6,1,53
740,6,93,No,5,5,84
741,5,56,Yes,5,6,39
742,6,55,Yes,9,1,44
743,6,45,Yes,5,3,36
744,7,90,No,8,2,81
745,4,46,Yes,5,4,30
746,8,89,Yes,5,8,80
747,7,53,No,9,1,41
748,9,77,Yes,8,4,77
749,7,79,No,4,7,69
750,3,54,No,5,5,34
751,3,86,Yes,5,3,64
752,8,86,Yes,5,9,78
753,5,87,Yes,6,7,74
754,4,72,No,8,2,52
755,8,82,Yes,5,3,76
756,6,66,Yes,6,8,53
757,2,68,Yes,4,4,46
758,4,96,No,4,5,77
759,4,76,No,9,1,59
760,6,44,No,9,8,35
761,6,68,Yes,9,7,61
762,1,71,Yes,6,6,46
763,8,99,No,4,8,97
764,6,92,Yes,9,4,86
765,3,45,Yes,7,4,24
766,9,41,No,9,8,37
767,2,45,No,4,4,18
768,8,85,No,7,8,84
769,3,82,Yes,6,0,59
770,5,43,Yes,7,9,29
771,6,95,Yes,4,9,84
772,6,68,No,5,7,60
773,4,98,No,7,2,78
774,3,64,Yes,4,7,46
775,4,48,No,9,4,31
776,1,95,No,5,1,68
777,4,42,Yes,6,8,25
778,1,65,No,6,3,37
779,1,87,Yes,8,6,62
780,6,82,No,6,7,69
781,5,66,Yes,8,6,50
782,4,75,No,6,5,55
783,3,71,Yes,6,6,54
784,1,40,No,6,3,12
785,6,96,No,8,9,88
786,2,92,No,9,0,69
787,8,93,No,8,4,88
788,5,55,No,7,7,41
789,7,90,Yes,4,9,83
790,2,87,Yes,4,5,62
791,8,50,Yes,9,4,45
792,2,65,No,4,1,42
793,4,79,Yes,6,9,65
794,1,94,No,9,4,73
795,5,40,No,4,9,23
796,9,65,Yes,8,2,61
797,1,67,Yes,7,1,41
798,9,92,No,5,2,85
799,8,97,No,7,3,93
800,6,48,Yes,4,1,35
801,7,99,Yes,9,3,92
802,3,98,No,4,3,79
803,1,83,No,8,5,57
804,5,61,Yes,7,4,49
805,2,47,No,8,6,28
806,5,97,No,8,6,85
807,8,88,Yes,5,2,82
808,9,81,Yes,8,8,80
809,2,66,No,8,6,41
810,3,78,No,5,6,57
811,3,58,Yes,6,1,41
812,1,64,No,6,9,43
813,8,77,Yes,9,2,73
814,6,60,No,5,2,46
815,8,63,Yes,9,5,61
816,9,63,No,9,3,61
817,5,99,No,8,3,87
818,3,99,No,9,0,78
819,5,58,Yes,4,5,43
820,5,89,Yes,7,7,75
821,5,86,Yes,4,7,72
822,3,41,No,4,7,18
823,4,53,No,8,4,36
824,9,92,Yes,7,9,92
825,9,71,Yes,9,5,71
826,2,81,No,7,4,58
827,8,71,No,9,3,69
828,8,67,No,6,3,58
829,7,87,No,5,3,74
830,8,78,Yes,8,3,72
831,3,79,Yes,9,5,61
832,6,81,No,9,5,74
833,1,86,No,7,4,60
834,7,79,No,8,8,70
835,1,52,Yes,9,7,27
836,9,51,Yes,6,9,49
837,1,47,No,4,5,17
838,1,54,No,9,8,34
839,7,65,No,7,4,51
840,2,51,No,6,9,27
841,5,82,No,8,3,67
842,8,90,No,9,5,84
843,8,85,Yes,6,3,81
844,3,66,Yes,6,7,45
845,7,57,Yes,6,6,50
846,3,84,No,6,4,67
847,6,75,No,6,9,67
848,6,88,No,6,5,77
849,3,90,Yes,5,6,70
850,7,66,No,8,1,59
851,3,48,Yes,4,8,27
852,8,94,No,8,6,88
853,4,78,No,7,7,60
854,1,40,No,7,4,14
855,4,46,Yes,8,2,27
856,7,65,Yes,6,1,54
857,4,46,Yes,5,1,32
858,6,91,No,4,2,79
859,9,46,Yes,9,0,44
860,1,47,No,9,0,20
861,5,55,No,6,6,42
862,7,42,Yes,8,9,33
863,1,84,Yes,9,7,58
864,4,49,No,8,5,31
865,6,89,No,5,6,75
866,2,46,No,5,0,22
867,5,60,No,8,0,46
868,1,92,Yes,6,8,68
869,6,76,Yes,6,4,66
870,6,70,Yes,6,6,60
871,4,62,No,9,5,44
872,8,96,No,4,3,90
873,4,66,No,4,0,47
874,8,95,Yes,6,3,88
875,8,61,No,8,9,56
876,5,,No,5,9,66
877,4,96,Yes,7,7,78
878,2,66,Yes,5,0,43
879,3,93,No,5,1,72
880,3,88,Yes,7,7,69
881,4,43,No,6,1,24
882,4,63,Yes,5,9,47
883,5,62,No,7,8,45
884,4,87,Yes,9,2,72
885,8,58,Yes,8,2,51
886,6,81,Yes,8,5,73
887,6,42,Yes,8,2,28
888,8,66,No,6,8,56
889,7,42,No,5,7,29
890,8,67,Yes,5,3,60
891,2,56,No,4,5,28
892,9,70,Yes,8,7,66
893,1,49,Yes,6,3,21
894,8,88,No,7,4,84
895,4,61,No,6,6,42
896,4,69,No,5,7,51
897,5,88,No,8,6,74
898,8,60,No,4,7,50
899,5,75,No,9,3,62
900,8,92,No,6,0,90
901,1,62,Yes,4,5,32
902,9,77,No,5,4,71
903,6,51,Yes,7,3,37
904,3,64,No,6,1,42
905,8,93,No,9,0,85
906,9,96,Yes,5,8,96
907,6,59,Yes,8,1,51
908,7,88,Yes,6,8,82
909,1,88,Yes,4,5,64
910,5,81,No,6,5,67
911,5,46,No,5,1,32
912,4,68,Yes,5,5,50
913,6,87,Yes,4,2,73
914,7,68,No,9,6,62
915,9,52,No,5,9,48
916,1,42,Yes,6,3,20
917,6,41,No,9,8,33
918,7,55,No,4,4,43
919,3,69,Yes,5,9,49
920,8,77,Yes,5,2,70
921,5,45,Yes,6,0,28
922,9,84,Yes,5,0,82
923,5,46,No,6,3,29
924,9,44,Yes,8,9,42
925,4,95,No,9,9,79
926,9,46,No,6,3,41
