StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
3013,16,1,Other,Higher,19.0784160769344,15,0,Very High,0,1,0,0,2.21594416922275
1265,17,0,Asian,High School,12.7852576636273,23,0,Moderate,0,0,0,0,0.809433810368462
2502,16,0,Caucasian,Some College,14.1986614686849,23,1,Low,0,0,0,0,0.893986012513685
2366,16,1,Caucasian,Bachelor,13.4838423323,29,1,Very High,1,0,0,0,1.11796482638266
2036,16,0,African American,Some College,15.215186167739,6,1,Very High,1,1,0,0,3.53919871153237
1503,15,0,Caucasian,Higher,1.47126708431531,6,0,High,1,0,0,0,2.61534794763985
1294,16,0,Caucasian,High School,6.68286044767724,6,1,,0,0,0,1,2.54651663724602
3195,15,0,Caucasian,Some College,15.6157096673095,26,0,High,1,0,0,0,1.17460951431087
2034,16,1,African American,Some College,3.15322053593816,13,1,,0,1,0,0,2.05857529269328
3301,15,0,Caucasian,Some College,19.5771203035647,21,1,Moderate,1,0,0,0,2.09569136543058
2586,16,1,African American,Bachelor,13.4273601779359,22,0,Low,1,1,0,0,1.46754910281344
2716,18,1,Caucasian,Some College,16.6357060037032,24,1,Very High,0,1,0,0,1.58039863570413
3299,17,0,Caucasian,Some College,18.3638631692341,10,0,High,0,1,0,1,2.55597537637095
2518,17,0,Caucasian,Some College,0.241398706012359,27,0,Low,1,1,1,0,0.591872335776283
3079,17,1,Other,Higher,15.4162904332864,9,0,Low,1,0,0,0,2.45430670186428
1617,15,1,African American,High School,8.57774862700421,27,0,Moderate,0,1,1,1,0.165110621551877
3385,15,1,Caucasian,High School,16.6555814204659,13,1,High,0,1,0,0,2.53911284852015
2602,17,0,Caucasian,Some College,4.61277280428528,23,0,High,0,0,1,0,0.945299040434415
3240,15,0,Caucasian,Some College,1.41743401309747,9,0,Very High,0,1,0,0,2.40728404313615
2328,15,1,Caucasian,High School,19.4445941843272,29,1,Very High,1,0,1,0,1.58447876407021
1199,15,1,Asian,Some College,2.41921324476985,21,0,Moderate,0,0,0,0,0.571053098033026
2214,16,0,Caucasian,Some College,1.80391400400489,22,0,High,1,1,0,0,1.22842884729266
1842,18,1,Caucasian,Bachelor,12.3545384812359,13,0,Moderate,0,0,1,0,1.75288620621656
2973,17,0,Caucasian,Bachelor,8.183932875713,28,1,High,0,0,0,0,0.840985451019802
2496,15,0,African American,High School,2.71865494734641,5,0,Moderate,0,0,1,0,2.33110891989709
2938,16,1,Asian,,9.22067136195624,4,0,Low,1,0,0,0,2.71590893204766
1394,18,1,Caucasian,,0.753947808453412,20,0,Low,1,1,0,0,0.895902990399077
2184,18,0,Caucasian,,3.17072316999847,10,1,Moderate,0,0,1,0,2.41902893685715
3173,15,1,Caucasian,Some College,13.0239542419069,13,1,Moderate,1,1,0,0,3.13878439406738
1657,17,0,Caucasian,Some College,4.12405431803558,24,0,High,1,0,0,0,0.49998777839316
1371,18,0,African American,Some College,15.5906336364787,26,0,High,0,0,0,0,0.623747436547288
1792,18,1,Caucasian,High School,0.65599748553792,15,0,Very High,0,0,0,0,1.38813897625668
2236,18,0,Asian,,19.612964391281,2,1,,1,0,0,0,3.51541582964601
1900,17,1,Asian,High School,4.99917962478991,26,1,Low,0,0,0,0,0.243298093844274
1802,16,0,Caucasian,,15.1493810144621,16,1,Moderate,1,0,0,0,1.95579173883541
2814,15,1,Caucasian,High School,11.7538893906262,20,0,Very High,0,0,1,0,1.71481178516102
2928,17,0,African American,High School,14.3232907635522,20,0,High,1,0,0,1,1.34513146338229
2638,15,1,Caucasian,Some College,6.92532101575861,24,0,Low,0,1,0,1,1.1280683640829
2983,18,0,African American,Higher,13.1898011624917,24,1,Moderate,0,1,1,0,1.55863220033099
1149,15,0,African American,Higher,1.36020463904841,22,0,Low,1,1,0,1,1.00722582021403
2370,16,1,Asian,,10.272667678573,10,1,Low,0,1,0,1,2.70263834011375
1910,16,1,Other,Some College,13.214547862183,15,1,Moderate,1,0,1,0,2.24654527316909
1903,16,1,Other,Some College,7.39475621745378,28,1,Moderate,0,1,0,0,0.833493418253365
1782,17,1,Caucasian,,16.6314785182091,3,1,High,0,0,0,0,3.29913100183334
2010,18,1,Caucasian,Bachelor,2.98536025338495,12,0,Moderate,1,0,0,0,1.6710761817818
3324,18,0,Caucasian,High School,4.29470250243127,6,0,Low,0,0,0,0,2.00672172523772
3241,15,1,Asian,Some College,11.96364891084,9,0,Moderate,0,0,0,0,2.26616030967447
1568,18,0,Asian,Higher,6.02462589587816,4,0,Low,0,0,0,0,2.32632675646665
3130,18,0,African American,High School,2.77919810497832,13,0,Moderate,1,1,0,1,1.94832751586038
3290,15,0,Caucasian,,19.0927530401294,12,0,Moderate,1,0,0,1,2.4222760935888
2295,18,0,Other,Some College,4.40258488395053,20,0,High,0,0,0,0,1.34899742029906
2912,16,1,African American,Some College,19.5982886556476,15,0,Moderate,1,0,0,0,2.48181340945339
3015,16,0,Other,,18.0796339317857,1,0,Moderate,0,0,1,0,3.38472947195801
2320,17,0,Asian,Bachelor,19.5598684747647,19,1,Moderate,0,0,0,0,1.49767365426014
2047,17,0,Other,Higher,1.95237521070298,15,0,High,0,1,0,0,1.55632895669071
1163,18,0,Caucasian,Some College,13.0847155989064,0,1,High,0,0,1,1,3.71858690428696
3298,17,1,Other,Some College,4.13972606000239,10,0,Very High,1,0,0,0,2.71057670077099
2186,18,0,Caucasian,Bachelor,2.65207981493622,20,0,Low,0,0,0,1,1.03080265890954
1511,15,0,Caucasian,Some College,14.9444929017717,13,0,Low,0,1,0,0,1.4015482387658
2348,17,1,African American,Some College,8.52812112983946,27,0,Moderate,1,1,0,0,0.339206699315044
1777,15,1,Asian,High School,12.0602772672918,1,1,Moderate,0,1,1,1,3.45327589675723
2097,16,1,Caucasian,High School,1.39291735496531,3,1,Moderate,1,0,0,0,3.3586942691799
2225,15,0,African American,Some College,9.98072345808163,28,0,Moderate,0,1,0,0,0.299951906162382
3387,16,0,Caucasian,Some College,13.8140207899833,14,0,Moderate,0,0,0,0,2.00008401114192
2158,15,1,African American,High School,8.63610201571824,6,1,Moderate,0,0,0,1,2.91701098341245
1455,15,1,Asian,,9.77209851755969,2,0,High,1,0,1,0,3.58773558707775
2324,16,1,Caucasian,,6.32209775881791,8,1,Moderate,0,0,0,0,2.43524428240221
1949,16,0,Asian,Some College,5.66593055995404,22,1,Low,1,1,0,0,1.28486571080729
1796,17,1,Caucasian,Some College,12.7409510700726,14,0,Low,0,0,0,0,1.71745861538754
2178,18,1,Asian,Bachelor,10.9680187348382,3,1,Low,0,0,1,0,3.36123085827288
3005,18,1,Caucasian,Bachelor,8.58645531408391,21,0,Moderate,1,1,0,0,1.39053969802992
1785,16,1,African American,Bachelor,17.577622918257,6,0,Very High,0,0,0,0,2.90265936685575
1419,18,0,Caucasian,Some College,2.35114498241873,8,0,Low,1,1,0,0,2.27084110752442
1489,15,1,Caucasian,High School,7.15026656854474,18,0,Low,1,1,0,1,1.67591943071438
1502,15,0,African American,Some College,19.2938095765692,14,0,High,1,1,0,0,2.1185006019239
2391,16,1,Caucasian,Some College,18.3807655405734,29,0,Very High,0,0,0,0,0.908238604135737
1608,18,1,Asian,Some College,0.260204268517454,15,0,High,1,1,1,0,2.45765102249571
1564,17,0,African American,High School,1.57397153415019,6,0,,0,0,1,0,2.32831171126172
2432,15,0,Caucasian,Bachelor,4.99734930515859,27,0,Moderate,1,0,0,0,0.71465128642034
1661,18,1,Caucasian,,12.1139848091975,21,0,Moderate,0,1,0,0,1.35272076359225
3350,18,1,Caucasian,High School,9.21369946964268,25,1,Low,1,0,0,0,0.932669739371062
1712,16,1,Caucasian,High School,7.88167297020064,23,0,Low,0,1,1,0,0.966967717491144
1758,17,0,Caucasian,Some College,6.74404070337906,6,0,Moderate,0,0,0,1,2.60838689826964
1625,15,0,Asian,High School,0.756402731040706,8,0,High,1,0,0,1,2.70519569479455
2350,15,1,Asian,,0.450086548573729,25,0,Low,1,0,0,0,0.449906207946115
2092,17,0,Other,High School,7.30187840463612,17,0,High,0,0,0,0,1.93078279689875
3120,18,1,Caucasian,Some College,18.0449124619246,12,0,,0,1,0,0,1.78310746722353
1504,18,0,Asian,,1.06869204782034,27,0,,0,1,1,0,0.415930507177843
2913,16,0,Asian,Some College,4.51762825867152,5,0,Very High,1,0,0,0,2.87608367261006
2368,16,0,Asian,Some College,13.1831108920027,21,0,High,0,1,0,0,1.62555195483636
1763,15,0,Caucasian,High School,7.18677981031575,17,0,High,0,1,0,0,1.50955787777647
1621,18,0,Caucasian,High School,18.7370686018203,15,0,Low,1,1,0,0,2.13140526298108
1515,16,1,Other,Some College,1.44714515482653,22,0,High,1,1,0,0,1.16135435133533
2411,18,1,Asian,Some College,17.4715061151947,20,1,High,0,0,0,0,2.02074165159124
1946,17,1,Asian,Bachelor,12.5781028984723,1,0,Very High,0,0,0,0,3.40204410838301
2464,17,0,Caucasian,Some College,12.0851903197385,29,0,Very High,1,0,0,1,0.725192946281799
1410,16,1,Other,Bachelor,13.5025977168884,11,0,Moderate,0,1,0,0,2.43702630011427
1379,16,0,Caucasian,High School,12.6117739461709,10,0,High,0,0,1,0,2.37399348143585
1524,17,0,African American,High School,5.54516832698372,9,1,Moderate,0,1,0,0,2.62166689339297
2907,15,0,Caucasian,Some College,6.61585982855311,10,0,Very High,1,0,0,0,2.83789141795462
1694,18,0,African American,Some College,0.169029921249211,22,0,Low,1,0,0,0,0.881358446631214
3369,15,0,Caucasian,Higher,6.68272823752347,3,0,Moderate,0,0,1,1,3.15859232389523
1722,17,1,Caucasian,High School,9.8090881703957,1,0,Moderate,0,0,0,0,3.15222228569957
1460,17,0,Caucasian,Bachelor,0.876937049932598,3,1,Moderate,0,1,1,0,3.00423330280109
2498,18,1,Caucasian,Some College,4.28352505479174,3,0,High,0,1,1,0,3.34457519798893
2050,15,0,African American,Some College,11.0263478132563,23,0,Moderate,1,0,0,0,1.39178777934572
2936,18,1,Other,High School,10.5554441813775,3,1,High,0,0,0,0,3.47133721449446
2110,17,0,Asian,High School,16.9459349107099,15,1,High,1,0,0,0,2.38553067060171
2471,15,0,Caucasian,Some College,8.80241541969872,1,1,Low,1,0,1,0,3.30737811355316
2032,18,0,Caucasian,,1.170732001601,26,0,Low,1,1,0,0,0.700539866899844
1270,17,1,Asian,,14.1589565340238,21,1,Moderate,0,1,0,0,1.00279836358194
1126,18,1,Caucasian,Some College,8.60632856084782,14,0,Very High,1,0,0,0,2.59055344505298
3180,18,1,African American,Some College,15.7623787989044,14,0,Moderate,1,1,0,0,2.4359581995274
1581,16,0,Asian,Some College,5.24070009013749,21,0,Moderate,0,1,0,0,0.743714016964717
2497,18,0,African American,Bachelor,9.95299109010436,5,0,Moderate,1,0,0,0,2.90597309780737
2619,16,1,Caucasian,High School,8.74563296489235,9,0,High,0,0,0,0,2.45033544315046
1517,18,1,Caucasian,Some College,5.133233797918289,21,0,High,0,1,1,0,1.29899798484883
2512,17,0,Caucasian,Bachelor,1.73879121384508,24,0,Low,1,0,0,0,0.483789390432307
1205,18,0,Caucasian,Some College,8.61966125694517,18,0,Low,1,0,0,0,1.14608603412959
1364,16,0,Caucasian,Bachelor,7.87363771981226,0,1,Very High,0,0,1,0,3.88064008486974
1168,17,1,African American,,9.78645494950243,9,0,Very High,0,1,0,0,2.29841792850948
1357,16,1,Asian,Some College,4.49164765307802,2,1,High,1,1,0,0,3.37525225524608
3136,15,1,Other,Some College,6.99723388444957,11,1,High,0,0,1,0,2.92018189840706
1877,16,1,African American,High School,19.2053271698413,1,0,Low,1,0,0,0,3.57704389742973
1779,18,0,African American,High School,17.8754837552389,21,1,,0,0,0,0,1.21733522804496
2146,16,0,Caucasian,Bachelor,13.9244287224254,20,0,,0,0,0,0,1.00751730844565
1939,16,0,African American,Some College,8.16475038692597,12,0,Moderate,0,0,0,0,1.95076917665965
2282,17,1,Caucasian,Some College,7.63960090925892,24,0,,0,0,0,1,0.129306751887547
1552,18,0,Asian,Bachelor,8.49145214371911,12,0,High,0,1,0,0,2.16097851904206
2040,17,1,Other,Some College,10.1309999981709,26,0,Low,0,0,0,0,0.262861166662393
2887,16,0,Caucasian,High School,15.497668645059,12,0,Moderate,0,0,1,0,2.32409325683665
2540,15,0,Caucasian,High School,16.9045111632148,9,0,Moderate,1,1,0,0,2.76182375138514
1155,15,1,Caucasian,Some College,4.30487641001907,2,0,Moderate,1,0,0,0,3.07561935366143
1022,15,0,Caucasian,Some College,15.3231420316556,25,0,Low,1,0,0,0,0.346894036705015
2631,17,1,African American,High School,8.29695213121092,3,0,Low,1,0,0,0,2.68834983631572
1626,16,0,Caucasian,Some College,2.4610424718065,25,0,Low,1,1,1,0,0.897938092080014
1303,17,1,Other,Some College,17.431037129165,17,0,Moderate,0,0,0,0,1.33755498020988
2522,15,0,Other,Some College,11.7894160618649,5,0,Very High,1,0,1,0,3.05621817661997
1866,15,1,Caucasian,Some College,5.36552040907113,15,0,Moderate,0,0,0,0,1.38569622055456
1041,17,1,Other,Some College,11.3149461310229,23,1,Low,0,0,0,0,1.05828739968986
1347,17,1,Other,Some College,11.2069734870065,8,0,Low,0,1,1,0,2.61495035394979
3118,18,1,Other,High School,11.3014758296021,7,0,Low,0,0,0,1,2.17281232182502
1984,15,0,Asian,,15.6658018487773,19,1,,0,1,0,0,1.1921084719957
1010,16,1,Caucasian,High School,18.4444663630972,0,0,High,1,0,0,0,3.57347421032977
3057,16,1,Caucasian,Bachelor,18.5586840247404,27,0,Moderate,0,1,0,0,0.991892391202009
2433,16,0,Caucasian,High School,12.8050182990455,6,0,Moderate,0,0,0,1,2.7374741655052
1447,17,0,Asian,Some College,3.14471330188467,23,0,Very High,0,1,0,1,1.52050387738001
3175,15,1,Caucasian,Some College,2.24765949857419,13,1,Low,1,1,1,0,1.68730743519766
3098,16,0,African American,High School,7.62201027223628,18,1,High,0,0,0,0,1.75749731276961
2998,15,1,Caucasian,Some College,1.52199977961549,19,0,Moderate,1,0,0,0,1.20017971963579
2682,16,0,African American,,1.28981360911693,9,1,Low,0,0,0,0,2.06456430260741
2070,15,0,Caucasian,Bachelor,13.3882412850729,11,0,Low,1,0,1,0,2.44860251894725
3059,16,1,Caucasian,High School,14.6897408064481,14,1,,1,0,0,0,2.29253964213371
3238,17,0,African American,Bachelor,2.20788468499868,21,1,High,0,0,0,0,1.33397410287911
1005,17,1,Caucasian,Some College,4.67249527297133,17,1,High,0,0,0,0,1.28806118179539
1385,15,0,Caucasian,High School,14.7104141158716,19,1,Low,1,0,0,0,1.7994091491725
1224,18,1,Caucasian,Bachelor,4.9980344327378,3,0,High,0,0,0,0,2.62162332627734
2102,16,1,Asian,Some College,8.44891580061758,20,1,Moderate,1,0,0,0,1.72075965032922
1482,16,1,Caucasian,Some College,13.3877084733974,28,1,Very High,0,0,0,1,1.18656972919231
1613,18,0,African American,,0.487819862201935,13,0,Low,1,0,0,0,1.5826829916644
2802,15,0,Asian,Some College,14.4086740445156,5,0,High,1,0,0,0,3.05607009006034
1776,15,0,Caucasian,Some College,1.2652534364135,2,1,Low,0,1,0,0,3.12761786518404
1327,17,0,Asian,Higher,2.50177819672807,17,0,High,0,1,0,0,1.36169841785941
3367,16,1,Caucasian,Some College,6.95937332310433,17,0,,0,0,0,0,0.984294295219319
1259,18,1,Caucasian,High School,0.460941768132148,14,0,Low,1,1,0,0,1.53095114631091
1426,15,0,Caucasian,High School,3.5336462835261,24,0,High,1,0,0,1,1.05046969155968
2329,16,0,Caucasian,Bachelor,3.06729654831491,29,0,Moderate,1,0,0,0,0.475730833387626
1448,16,0,Caucasian,Some College,13.8124548416268,3,0,High,1,1,1,1,3.28982314217598
1684,18,1,Asian,Bachelor,3.93377116462426,8,1,High,0,1,0,0,2.52877457440683
2133,16,0,Caucasian,Higher,8.36898994350916,1,0,,0,0,0,0,2.60783935250286
2021,17,1,Caucasian,High School,13.5460791859628,2,1,High,1,1,0,0,3.52061239163388
1953,15,1,Caucasian,Some College,17.3470927823072,25,1,,1,1,0,0,1.17990340668534
2303,17,1,Caucasian,Some College,13.0731295281124,23,0,High,1,1,1,0,1.66892454578661
3351,18,1,Caucasian,Some College,17.8164826302126,24,0,Moderate,0,0,1,0,0.872209535627566
1755,16,1,Asian,Some College,16.436029185084,20,0,Moderate,1,1,0,0,1.8342269970893
2507,18,0,African American,High School,3.52388812328495,0,0,Moderate,1,0,0,0,2.90570297420742
2681,18,0,African American,Bachelor,4.28543618620519,29,1,Moderate,0,1,0,0,0.397989396692544
2528,15,0,Asian,Some College,4.74508727314275,14,0,Moderate,0,0,0,0,2.05977834206103
1186,15,0,African American,Some College,9.07693127613823,26,1,High,1,0,0,0,0.896397899023395
2313,15,0,Other,,4.63165982577999,6,1,Moderate,0,0,1,0,2.61168847259384
2782,18,0,African American,High School,17.0296889862799,8,0,High,0,0,0,0,2.74555408284983
3267,18,0,Caucasian,Bachelor,4.7503224118812,16,0,High,0,0,0,0,1.5147637597129
3159,16,1,Other,Some College,7.72987445727827,16,0,Very High,0,0,1,0,1.46744236663876
1952,18,1,Caucasian,Some College,18.6723075567019,4,1,High,1,1,0,1,3.83669864024059
3313,17,0,Caucasian,Bachelor,1.99452407706736,28,0,Very High,1,0,0,1,0.674362943608145
3131,15,0,Asian,High School,5.0482762595312,15,0,Low,0,1,0,0,1.80809719804236
2482,15,1,Asian,Some College,4.0707104496361,22,0,Moderate,0,0,0,0,0.909763533141097
3055,17,1,Caucasian,High School,9.51884435095449,14,0,High,1,1,0,0,2.22054850893933
1767,15,1,Asian,High School,18.0251841559313,26,0,Low,1,0,1,0,0.844792001871668
2670,18,0,Caucasian,High School,14.6490925826746,14,1,Moderate,0,0,0,0,2.40146999516293
2702,16,0,Other,Some College,6.66015266104489,22,0,Low,0,0,0,0,0.710956981987336
1551,15,0,Caucasian,Higher,1.92251703464303,7,0,Low,1,1,0,0,2.41198646147133
1762,16,0,Caucasian,,11.7052175101969,4,0,Low,0,1,0,0,2.42292833291079
1273,18,1,African American,Some College,13.0165590097866,11,0,Very High,0,0,0,0,2.20584214703034
2051,16,0,Caucasian,Some College,7.19086289040007,10,1,Moderate,0,0,0,0,2.18279522115223
2659,15,1,Other,Some College,18.8713043431395,1,0,Moderate,0,0,0,0,3.61827271216723
1173,17,1,Caucasian,High School,14.1328504349787,14,1,High,0,0,0,0,2.33922451275359
2778,17,1,Caucasian,High School,11.2963832577279,27,0,Moderate,0,1,0,0,0.622706295394981
2194,18,0,Caucasian,High School,2.26199478847645,18,0,Moderate,1,1,0,0,1.81861256045843
1525,16,0,Asian,Bachelor,19.9336655586936,20,0,Moderate,0,0,0,0,1.22852850525004
1549,16,0,Caucasian,,18.0610130620503,13,0,Low,0,0,1,0,2.20622634147767
1834,18,1,Asian,High School,0.794224151444944,3,1,High,1,0,0,0,2.8760550053652
1262,16,0,Caucasian,Some College,4.55067753872927,20,1,Low,1,0,0,0,1.26567790919943
2336,16,1,Caucasian,Some College,13.0335958975685,4,0,High,0,0,0,1,3.36921860482088
1491,18,0,Caucasian,Some College,12.8560410032417,19,1,Low,1,0,0,0,1.55676555690832
2173,17,0,Caucasian,High School,9.3571892526832,12,1,Low,1,0,0,0,2.30345334926998
2183,18,0,Asian,Bachelor,1.03371359822264,20,0,High,0,1,0,0,0.906353743453148
3329,17,0,Caucasian,Some College,7.55936711282568,21,0,High,1,0,0,0,1.33993550863299
2377,18,0,Caucasian,High School,12.9641835489711,20,0,,1,1,0,0,1.36274436915864
2685,17,1,Caucasian,Bachelor,10.1148459671089,12,0,Very High,1,0,1,0,2.32990964519117
3229,15,0,Asian,High School,3.34268629738614,18,1,High,1,1,0,0,1.65115612937972
1820,15,1,African American,Some College,5.4631924073989,3,1,Very High,1,0,0,0,3.94176002244426
1847,16,1,African American,Some College,16.027041165405,23,1,High,1,1,0,1,1.76764678458068
2516,16,0,Caucasian,High School,13.1656756685231,5,1,High,0,0,1,0,3.10274556143328
2309,15,0,African American,High School,14.4117283874127,10,1,High,1,0,0,0,2.75901434338498
2408,15,0,African American,Some College,4.43054303804734,20,0,Moderate,1,1,0,0,1.35505346239621
2678,17,1,Asian,Some College,13.7964214265752,6,0,High,0,1,1,0,2.93469210242215
2653,16,0,Caucasian,Some College,7.82908541588942,28,0,High,0,1,0,0,0.745518983001618
1147,17,1,Asian,Some College,9.64712417165506,1,1,Moderate,1,0,0,1,3.58888793976501
3205,15,1,Asian,High School,0.237426933387186,27,0,,0,1,0,0,0.0
1560,16,0,African American,High School,12.6769963747065,5,0,High,1,0,1,0,3.36692951538211
1196,16,1,African American,,12.6653783467498,26,0,High,1,1,0,0,0.897634158616404
2080,15,0,Asian,Some College,17.1970898067024,25,0,High,1,0,0,0,1.1187524053837
1120,15,0,Asian,High School,19.5653092705895,3,0,Moderate,1,0,1,1,3.61946086969352
3311,16,1,African American,High School,0.112626254961075,28,0,Moderate,0,0,0,0,0.0
3392,16,1,Caucasian,Some College,17.8199074928853,13,0,Moderate,0,0,0,1,2.1400138778044
1988,18,1,African American,Some College,9.61883216168607,15,0,High,1,0,0,0,2.09603262493828
1804,15,1,African American,Some College,14.1836140758881,14,1,Moderate,0,1,0,0,2.37006742223053
1951,17,1,African American,Some College,2.53872115348353,12,0,Moderate,0,1,0,0,1.97802171843814
1601,15,1,African American,Some College,6.82095745661247,7,0,Low,1,1,0,0,2.44615708063582
1558,16,1,Other,Bachelor,16.2028018149092,0,0,High,1,0,0,0,3.6465163889498
3231,16,0,Caucasian,Some College,4.64546729581002,11,0,Low,1,0,0,0,2.05577225590366
2210,15,1,African American,Some College,9.83028451663653,23,0,Low,1,0,0,0,0.928539344144163
1288,15,0,African American,Some College,7.36590935311419,17,0,Low,0,0,0,0,1.45674260108727
1896,18,1,Asian,High School,8.2969370060319,13,0,Moderate,0,1,0,0,2.27691831821056
2896,17,0,African American,Some College,15.0335953406285,1,0,Low,0,0,0,0,2.97474069496604
2615,16,1,Caucasian,Some College,17.9162420279716,6,0,High,1,0,1,0,3.1674552770752
2760,17,1,Caucasian,High School,12.8710424597483,26,0,Low,0,1,0,0,0.611569305518309
1530,16,1,Asian,Higher,0.621137520703112,16,1,Very High,0,0,0,0,1.88585022368373
2824,18,0,Asian,Some College,18.6388827930874,20,0,Moderate,1,1,0,0,1.45187224308354
1059,17,0,Caucasian,High School,6.77108054874103,9,1,High,0,1,0,0,2.61383869367367
1271,16,1,Caucasian,Some College,11.1484948934028,15,0,High,0,0,0,0,1.66306345319906
2308,18,0,Caucasian,Some College,18.6426783079657,22,0,High,1,0,0,0,1.24818256681425
1815,18,0,Asian,Some College,13.0955150256852,4,0,Moderate,0,0,0,0,2.47371717807815
1823,16,0,Caucasian,Bachelor,18.1687509574453,15,0,High,0,1,0,0,2.10396651034335
1321,18,1,Caucasian,High School,1.45149596089422,2,0,Low,1,0,0,0,2.72382806040106
1206,15,0,Caucasian,Some College,3.49573430090316,12,1,Very High,0,0,0,0,2.19236319785529
1329,18,1,Asian,Some College,11.1363672055662,22,0,,0,0,0,0,1.01125319461675
2229,16,1,African American,Higher,9.08965465910713,19,0,Moderate,0,1,0,0,1.6117379539626
2783,18,1,Asian,Some College,12.1839078278665,13,1,Very High,1,0,1,0,2.99321446414457
1846,15,0,Other,,16.8361741805764,10,0,High,0,0,0,0,2.27570014700836
1153,15,1,Caucasian,Bachelor,3.7827739265348,22,0,Very High,1,0,0,1,1.11991126295732
2141,16,1,Caucasian,High School,17.3388208566102,12,0,High,1,0,1,0,2.62217900177468
1046,18,0,Caucasian,Some College,4.89431194047402,7,0,Very High,0,0,1,0,2.51530027225625
2278,17,1,Caucasian,High School,8.83094577759661,10,1,Low,0,1,1,0,2.59564886259771
2489,15,1,African American,,11.08339443222,24,0,Very High,0,0,0,0,0.952675033052533
3074,16,1,Caucasian,High School,6.15310174712673,12,0,High,0,0,0,0,1.78903677590955
1806,18,0,Asian,Some College,4.22013383415052,5,0,,0,0,0,0,2.12304312697031
2720,15,1,African American,,2.80089624268458,21,1,Very High,0,1,0,1,1.62177273608961
3158,17,1,Asian,Bachelor,14.3295252528433,2,1,Moderate,1,0,0,1,3.63641656786003
2067,15,0,African American,High School,0.488537658812664,3,0,Moderate,0,1,0,0,3.07330447256282
2289,18,0,Asian,High School,19.9120840360701,8,0,High,1,0,1,1,3.21462842569765
1609,18,1,African American,Bachelor,18.8950016042042,22,1,Moderate,0,0,0,0,1.22674128577128
3058,17,0,Asian,High School,9.08193186755073,19,0,Moderate,0,0,0,0,1.17534765812081
2946,18,1,Other,Bachelor,9.35698366584086,21,0,Moderate,0,0,0,0,0.766273679152981
2237,15,1,Asian,Some College,7.00544741338655,4,0,High,0,0,0,0,2.91813912755296
2604,15,1,Caucasian,Some College,6.77939852345643,3,1,Very High,0,0,0,0,3.58344760514376
3078,17,0,Asian,Bachelor,6.0831050897093,15,0,High,1,0,0,0,1.89934025014664
1301,15,1,Caucasian,High School,13.3483106106766,28,0,High,1,0,0,0,1.11384878785912
2132,16,1,Caucasian,,6.75495993469695,0,0,Moderate,1,0,0,0,3.29433243714391
1088,15,0,Asian,High School,0.0080308805067974,27,0,Low,0,0,1,0,0.0
1040,17,1,Asian,High School,12.2331135129203,21,1,High,1,1,0,0,1.52686783179272
1352,15,0,Caucasian,High School,10.9523220130749,3,0,Very High,0,0,0,0,2.8740373600353
2001,16,1,Asian,,4.72015860647424,16,1,High,1,0,1,0,1.83435914042803
3019,15,1,Caucasian,High School,16.744382859174,8,0,Moderate,0,0,0,0,2.34844345354412
